sample.id	brc	crop	microbiome_compartment	case_study	fertilization	drought	irrigation	drought_tolerance	genotype	site	cropping_system	plot	Year	Sampling Location	Replicate	Sampling Date	Nitrogen conc	Days after fertilization	Treatment	Line	Block	Harvest
SABR.1.P03.B.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P03.B.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P03.R.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P03.R.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P04.B.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P04.B.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P04.R.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P04.R.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P05.B.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P05	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P05.B.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P05	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P05.R.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P05	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P05.R.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P05	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P06.B.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P06	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P06.B.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P06	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P06.R.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P06	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P06.R.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P06	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P07.B.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P07	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P07.B.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P07	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P07.R.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P07	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P07.R.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P07	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P08.B.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P08	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P08.B.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P08	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P08.R.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P08	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P08.R.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P08	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P09.B.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P09	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P09.B.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P09	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P09.R.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P09	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P09.R.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P09	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P10.B.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P10	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P10.B.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P10	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P10.R.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P10	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P10.R.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P10	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P11.B.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P11	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P11.B.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P11	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P11.R.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P11	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P11.R.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P11	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P12.B.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P12	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P12.B.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P12	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P12.R.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P12	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P12.R.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P12	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P13.B.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P13	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P13.B.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P13	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P13.R.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P13	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P13.R.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P13	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P14.B.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P14	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P14.B.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P14	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P14.R.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P14	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P14.R.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P14	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P15.B.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P15	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P15.B.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P15	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P15.R.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P15	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P15.R.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P15	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.2.P01.B.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P01.B.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P01.R.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P01.R.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P02.B.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P02.B.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P02.R.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P02.R.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P03.B.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P03.B.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P03.R.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P03.R.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P04.B.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P04.B.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P04.R.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P04.R.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P05.B.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P05	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P05.B.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P05	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P05.R.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P05	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P05.R.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P05	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P06.B.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P06	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P06.B.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P06	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P06.R.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P06	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P06.R.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P06	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P07.B.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P07	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P07.B.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P07	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P07.R.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P07	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P07.R.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P07	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P08.B.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P08	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P08.B.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P08	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P08.R.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P08	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P08.R.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P08	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P09.B.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P09	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P09.B.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P09	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P09.R.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P09	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P09.R.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P09	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P10.B.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P10	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P10.B.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P10	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P10.R.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P10	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P10.R.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P10	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P11.B.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P11	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P11.B.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P11	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P11.R.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P11	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P11.R.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P11	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P12.B.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P12	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P12.B.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P12	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P12.R.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P12	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P12.R.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P12	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P13.B.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P13	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P13.B.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P13	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P13.R.a	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P13	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P13.R.b	cabbi	Sorghum + Rye	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P13	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P14.B.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P14	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P14.B.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P14	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P14.R.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P14	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P14.R.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P14	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P15.B.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P15	2023	Interrow	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P15.B.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P15	2023	Interrow	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P15.R.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P15	2023	Row	a	6/19/23	NA	NA	NA	NA	NA	NA
SABR.2.P15.R.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P15	2023	Row	b	6/19/23	NA	NA	NA	NA	NA	NA
SABR.3.P01.B.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Interrow	a	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P01.B.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Interrow	b	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P01.R.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Row	a	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P01.R.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Row	b	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P02.B.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Interrow	a	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P02.B.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Interrow	b	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P02.R.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Row	a	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P02.R.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Row	b	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P03.B.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Interrow	a	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P03.B.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Interrow	b	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P03.R.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Row	a	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P03.R.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P03	2023	Row	b	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P04.B.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Interrow	a	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P04.B.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Interrow	b	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P04.R.a	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Row	a	6/26/23	NA	NA	NA	NA	NA	NA
SABR.3.P04.R.b	cabbi	Soy	Rhizosphere	spatial	Unfert	NA	NA	NA	NA	NA	NA	P04	2023	Row	b	6/26/23	NA	NA	NA	NA	NA	NA
